Sr. No,Symbol,Series,Security Name,From,To
1,AMDIND,EQ,AMD INDUSTRIES LIMITED,10,5
2,BTML,EQ,BODHI TREE MULTIMEDIA LIMITED,10,5
3,GVKPIL,EQ,GVK POWER & INFRASTRUCTURE LIMITED,10,5
4,ICEMAKE,EQ,ICE MAKE REFRIGERATION LIMITED,10,5
5,LCCINFOTEC,EQ,LCC INFOTECH LIMITED,10,5
6,RHFL,EQ,RELIANCE HOME FINANCE LIMITED,10,5
7,SAMBHAAV,EQ,SAMBHAAV MEDIA LIMITED,10,5
8,SUPREMEENG,EQ,SUPREME ENGINEERING LIMITED,10,5
9,TECHIN,EQ,TECHINDIA NIRMAN LIMITED,10,5
10,WEBELSOLAR,EQ,WEBSOL ENERGY SYSTEM LIMITED,10,5
11,DHANI,EQ,DHANI SERVICES LIMITED,20,10
12,DRSDILIP,SM,DRS DILIP ROADLINES LIMITED,20,10
13,KANANIIND,EQ,KANANI INDUSTRIES LIMITED,20,10
14,KOTYARK,SM,KOTYARK INDUSTRIES LIMITED,20,10
15,KRIDHANINF,EQ,KRIDHAN INFRA LIMITED,20,10
16,KRITIKA,EQ,KRITIKA WIRES LIMITED,20,10
17,MMP,EQ,MMP INDUSTRIES LIMITED,20,10
18,NDL,EQ,NANDAN DENIM LIMITED,20,10
19,RAJMET,EQ,RAJNANDINI METAL LIMITED,20,10
20,SHRENIK,EQ,SHRENIK LIMITED,20,10
21,SRIVASAVI,SM,SRIVASAVI ADHESIVE TAPES LIMITED,20,10
22,VIVIANA,SM,VIVIANA POWER TECH LIMITED,20,10
23,YAARI,EQ,YAARI DIGITAL INTEGRATED SERVICES LIMITED,20,10
24,VELS,SM,VELS FILM INTERNATIONAL LIMITED,5,20
